DatePulled,ForMonth,Sta3n,ImagingType,DivisionName,TotalCompletedExams,TotalNoShowed,scheduled_14,scheduled_30,scheduled_31_60,scheduled_61_90,scheduled_91_120,scheduled_120,TotalOrders
5/22/2019,18-Dec,626,GENERAL RADIOLOGY,CHATTANOOGA CBOC (Eff 10/1/00),607,3,581,603,4,0,0,0,699
5/22/2019,18-Dec,626,GENERAL RADIOLOGY,CLARKSVILLE CBOC,650,0,563,615,35,0,0,0,602
5/22/2019,18-Dec,626,GENERAL RADIOLOGY,NASHVILLE,3267,18,3188,3233,34,0,0,0,3187
5/22/2019,18-Dec,626,MAGNETIC RESONANCE IMAGING,ALVIN C YORK (Eff 10/1/00),360,20,106,162,171,17,9,1,356
5/22/2019,18-Dec,626,MAGNETIC RESONANCE IMAGING,NASHVILLE,480,10,191,225,208,38,9,0,506
5/22/2019,18-Dec,626,MAMMOGRAPHY,ALVIN C YORK (Eff 10/1/00),108,11,97,106,2,0,0,0,124
5/22/2019,18-Dec,626,MAMMOGRAPHY,NASHVILLE,141,0,92,119,18,4,0,0,158
5/22/2019,18-Dec,626,NUCLEAR MEDICINE,ALVIN C YORK (Eff 10/1/00),410,0,324,377,28,4,0,1,134
5/22/2019,18-Dec,626,NUCLEAR MEDICINE,NASHVILLE,996,21,580,699,260,27,9,1,403
5/22/2019,18-Dec,626,ULTRASOUND,ALVIN C YORK (Eff 10/1/00),368,17,203,305,56,5,1,1,400
5/22/2019,18-Dec,626,ULTRASOUND,CHATTANOOGA CBOC (Eff 10/1/00),151,5,142,150,1,0,0,0,167
5/22/2019,18-Dec,626,ULTRASOUND,NASHVILLE,853,47,591,709,107,28,8,1,646
5/22/2019,18-Dec,626,VASCULAR LAB,NASHVILLE,46,3,38,44,1,1,0,0,59
